stu_id,year,dept,feedback,sentiment
19104047,BE,IT,The professor provided excellent resources and study materials.,1
19104048,BE,IT,The course was relevant to my career interests.,1
19104049,BE,IT,The assessments were fair and accurately reflected what we learned in class.,1
19104050,BE,IT,The professor was passionate about the subject matter and made the class enjoyable.,1
19104051,BE,IT,The course could have benefited from more real-world examples and applications.,0
19104052,BE,IT,The professor was approachable and always willing to help.,1
19104053,BE,IT,"The coursework was challenging, but it helped me improve my critical thinking skills.",1
19104054,BE,IT,"The course was well-structured, and the assignments built upon each other nicely.",1
19104055,BE,IT,The professor could have provided more detailed feedback on our assignments.,0
19104056,BE,IT,The course covered a good range of topics and provided a solid foundation.,1
19104057,BE,IT,"The workload was manageable, and the professor was understanding of our schedules.",1
19104058,BE,IT,The course could have provided more opportunities for group work and collaboration.,0
19104059,BE,IT,"The professor was knowledgeable, but their teaching style could have been more engaging.",0
19104060,BE,IT,The assessments were too focused on memorization rather than understanding.,-1
19104061,BE,IT,The course provided me with valuable skills and knowledge that I will use in my future career.,1
19104062,BE,IT,The professor's passion for the subject matter made the class more interesting.,1
19104063,BE,IT,"The course required a lot of independent learning, but the professor was available to answer questions.",1
19104064,BE,IT,The assignments were too time-consuming and took away from other coursework.,-1
19104065,BE,IT,The course material was outdated and could have been updated with more recent examples.,-1
19104066,BE,IT,The professor was approachable and always willing to provide extra help.,1
19104067,BE,IT,"The course was well-structured, and the pacing was appropriate.",1
19104068,BE,IT,The professor provided clear and detailed feedback on our assignments.,1
19104069,BE,IT,"The coursework was challenging, but it helped me improve my problem-solving skills.",1
19104070,BE,IT,The lectures were well-organized and informative.,1
19104071,BE,IT,The course material was challenging but rewarding.,1
19104072,BE,IT,The professor was helpful and approachable.,1
19104073,BE,IT,The assignments were unclear and confusing.,-1
19104074,BE,IT,The class discussions were engaging and thought-provoking.,1
19104075,BE,IT,The exams were too difficult and not representative of the course material.,-1
19104076,BE,IT,The lab sessions were helpful in reinforcing the concepts learned in class.,1
19104077,BE,IT,The textbook was poorly written and difficult to understand.,-1
19104078,BE,IT,The overall organization of the course could have been better.,-1
19104079,BE,IT,The course was a valuable learning experience and I would recommend it to others.,1
19104080,BE,IT,The professor was knowledgeable and passionate about the subject.,1
19104081,BE,IT,The workload was manageable and reasonable.,0
19104082,BE,IT,The course was not relevant to my interests or career goals.,-1
19104083,BE,IT,The assignments were graded fairly and in a timely manner.,1
19104084,BE,IT,The class was too large and it was difficult to get individual attention.,-1
19104085,BE,IT,The group projects were a valuable learning experience.,1
19104086,BE,IT,The professor was disorganized and unprepared for class.,-1
19104087,BE,IT,The course was well-structured and easy to follow.,1
19104088,BE,IT,The class was too focused on theory and not enough on practical applications.,-1
19104089,BE,IT,The course material was outdated and not relevant to current industry practices.,-1
19104090,BE,IT,The professor was approachable and open to feedback.,1
19104091,BE,IT,The course was too fast-paced and difficult to keep up with.,-1
19104092,BE,IT,The exams were fair and covered the material taught in class.,1
19104093,BE,IT,The course was a valuable investment in my education.,1
19104094,BE,IT,The assignments were relevant and useful in reinforcing the concepts learned in class.,1
19104095,BE,IT,The professor was unresponsive to emails and difficult to contact outside of class.,-1
19104096,BE,IT,The course was not challenging enough and did not push me to my full potential.,-1
19104097,BE,IT,The group projects were disorganized and poorly managed.,-1
19104098,BE,IT,The course content was interesting and engaging.,1
19104099,BE,IT,The course was well-balanced and provided a good mix of theory and practical applications.,1
19104100,BE,IT,The professor was enthusiastic and passionate about the subject matter.,1
19104101,BE,IT,The programming assignments were challenging but rewarding.,1
19104106,BE,IT,The course was too focused on theory and lacked practical applications.,-1
19104111,BE,IT,The labs were disorganized and lacked proper supervision.,-1
19104112,BE,IT,The coursework was interesting and challenging,1
19104116,BE,IT,The professors were passionate about the subject and made the course interesting.,1
19104117,BE,IT,The lectures were boring and unengaging,-1
19104121,BE,IT,The assignments were well-designed and helped me understand the material.,1
19104123,BE,IT,The course content was outdated and irrelevant,-1
19104123,BE,IT,The course content was outdated and irrelevant,-1
19104126,BE,IT,The course material was outdated and not relevant to current industry practices.,-1
19104131,BE,IT,The professors were disengaged and not helpful.,-1
19104131,BE,IT,The course material was confusing and unclear,-1
19104131,BE,IT,The course material was confusing and unclear,-1
19104167,BE,IT,The lectures were engaging and the staff helpful,1
19104167,BE,IT,The lectures were engaging and the staff helpful,1
19104171,BE,IT,The instructors were unengaging and unhelpful,-1
19104184,BE,IT,The lab sessions were disorganized and unhelpful,-1
19104190,BE,IT,The lab sessions were informative and practical,1
19104190,BE,IT,The lab sessions were informative and practical,1
19102001,BE,COMPS,The professor was engaging and made the class interesting.,1
19102002,BE,COMPS,I found the course material to be well-presented and easy to understand.,1
19102003,BE,COMPS,The assignments were challenging but fair.,1
19102004,BE,COMPS,The professor provided helpful feedback on my work.,1
19102005,BE,COMPS,The course was well-organized and easy to follow.,1
19102006,BE,COMPS,I struggled with some of the material but the professor was always available to help.,0
19102007,BE,COMPS,The workload was manageable and allowed me to balance my studies with other commitments.,0
19102008,BE,COMPS,I felt that the course was not structured in a way that allowed me to succeed.,-1
19102009,BE,COMPS,The professor was not very responsive to my questions and concerns.,-1
19102010,BE,COMPS,The pace of the course was too fast for me and I felt overwhelmed.,-1
19102011,BE,COMPS,The professor made the course enjoyable and I learned a lot.,1
19102012,BE,COMPS,The assignments were too difficult and I struggled to complete them.,-1
19102013,BE,COMPS,I found the course material to be dry and uninteresting.,-1
19102014,BE,COMPS,The professor did not provide enough support for struggling students.,-1
19102015,BE,COMPS,The course was very challenging but I learned a lot.,0
19102016,BE,COMPS,I enjoyed the class discussions and felt that they helped me understand the material better.,1
19102017,BE,COMPS,The workload was reasonable and allowed me to stay on top of my studies.,1
19102018,BE,COMPS,The professor was very knowledgeable and helped me to deepen my understanding of the subject.,1
19102019,BE,COMPS,I appreciated the feedback that the professor provided on my assignments.,1
19102020,BE,COMPS,The course was disorganized and it was difficult to keep track of assignments and deadlines.,-1
19102021,BE,COMPS,I struggled to connect with the material and found it unengaging.,-1
19102022,BE,COMPS,The professor was approachable and responsive to my questions and concerns.,1
19102023,BE,COMPS,The course was well-structured and easy to navigate.,1
19102024,BE,COMPS,I felt that the assignments were not relevant to the material covered in class.,-1
19102025,BE,COMPS,The workload was very heavy and I struggled to keep up with everything.,-1
19102026,BE,COMPS,I appreciated the professor's enthusiasm for the subject and the way that they made the material come alive.,1
19102027,BE,COMPS,The course was challenging but I felt that it was well worth the effort.,1
19102028,BE,COMPS,I struggled to keep up with the pace of the course and felt that I was falling behind.,-1
19102030,BE,COMPS,The professor is very knowledgeable about the subject.,1
19102031,BE,COMPS,The course material is very well-structured and easy to follow.,1
19102032,BE,COMPS,I had a difficult time understanding some of the concepts.,-1
19102033,BE,COMPS,The class discussions were engaging and informative.,1
19102034,BE,COMPS,The assignments were challenging but helpful in reinforcing the concepts learned.,1
19102035,BE,COMPS,The professor was very approachable and helpful during office hours.,1
19102036,BE,COMPS,I found the course to be very boring and unengaging.,-1
19102037,BE,COMPS,The final exam was much more difficult than I expected.,-1
19102038,BE,COMPS,The lectures were too fast-paced and hard to follow.,-1
19102039,BE,COMPS,I learned a lot from this course and feel well-prepared for future classes.,1
19102040,BE,COMPS,The textbook was very helpful in understanding the course material.,1
19102041,BE,COMPS,The professor was very disorganized and often went off-topic during lectures.,-1
19102042,BE,COMPS,The course was a good balance of theory and practical applications.,1
19102043,BE,COMPS,The workload for this course was too heavy and made it difficult to keep up.,-1
19102044,BE,COMPS,The assignments were not very well-designed and often confusing.,-1
19102045,BE,COMPS,The professor was very engaging and made the material come alive.,1
19102046,BE,COMPS,I found the course to be very interesting and informative.,1
19102047,BE,COMPS,The course was too easy and did not challenge me enough.,-1
19102048,BE,COMPS,The professor provided excellent feedback on assignments and exams.,1
19102049,BE,COMPS,The class was very interactive and allowed for meaningful discussions.,1
19102050,BE,COMPS,I struggled with the material and would have benefitted from more one-on-one help from the professor.,-1
19102051,BE,COMPS,The assignments were not very relevant to the course material.,-1
19102052,BE,COMPS,The professor was very unapproachable and often dismissive of student questions.,-1
19102053,BE,COMPS,The course was a good introduction to the field and provided a solid foundation for future studies.,1
19102054,BE,COMPS,The lectures were very dry and lacked any sort of enthusiasm.,-1
19102055,BE,COMPS,The professor provided excellent real-world examples to illustrate course concepts.,1
19102056,BE,COMPS,The workload for this course was very manageable and allowed me to focus on other classes as well.,1
19102057,BE,COMPS,I struggled with the final project and found it to be overly complicated.,-1
19102058,BE,COMPS,The professor was very accommodating and understanding when I needed an extension on an assignment.,1
19102059,BE,COMPS,The course was very challenging but ultimately rewarding.,1
19102060,BE,COMPS,The professor was very knowledgeable and helpful.,1
19102061,BE,COMPS,The assignments were challenging but doable.,1
19102062,BE,COMPS,The lectures were a bit too fast-paced for me.,-1
19102063,BE,COMPS,The course material was interesting and relevant.,1
19102064,BE,COMPS,The grading system was fair and transparent.,1
19102065,BE,COMPS,I struggled to keep up with the workload.,-1
19102066,BE,COMPS,The professor was approachable and easy to talk to.,1
19102067,BE,COMPS,The course was well-organized and structured.,1
19102068,BE,COMPS,The exams were challenging but fair.,1
19102069,BE,COMPS,I wish there was more interaction in the online classes.,0
19102070,BE,COMPS,The course exceeded my expectations.,1
19102071,BE,COMPS,The course lacked clear instructions and guidelines.,-1
19102072,BE,COMPS,The group projects were a great learning experience.,1
19102073,BE,COMPS,The professor provided timely and helpful feedback.,1
19102074,BE,COMPS,I struggled to understand some of the course material.,-1
19102075,BE,COMPS,The textbook was well-written and easy to follow.,1
19102076,BE,COMPS,The course was too theoretical and lacked practical applications.,-1
19102077,BE,COMPS,I appreciated the opportunities for extra credit.,1
19102078,BE,COMPS,The course workload was reasonable.,0
19102079,BE,COMPS,I wish there were more hands-on projects in the course.,-1
19102080,BE,COMPS,The professor was disorganized and hard to follow.,-1
19102081,BE,COMPS,The course was a valuable learning experience.,1
19102082,BE,COMPS,The course was challenging but rewarding.,1
19102083,BE,COMPS,The course was too easy and not challenging enough.,-1
19102084,BE,COMPS,The professor was engaging and made the course material interesting.,1
19102085,BE,COMPS,I struggled to find the motivation to complete the coursework.,-1
19102086,BE,COMPS,The course was well-paced and manageable.,1
19102087,BE,COMPS,The professor was knowledgeable but not approachable.,0
19102088,BE,COMPS,The course required a lot of independent research and learning.,1
19102089,BE,COMPS,The course lacked structure and direction.,-1
19102090,BE,COMPS,The group work was frustrating and unproductive.,-1
19102091,BE,COMPS,The professor was condescending and unhelpful.,-1
19102092,BE,COMPS,The course was too focused on theory and not enough on practical applications.,-1
19102093,BE,COMPS,The professor was one of the best I've ever had.,1
19102094,BE,COMPS,The course was well-designed and well-taught.,1
19102095,BE,COMPS,The course material was well-organized and easy to follow.,1
19102096,BE,COMPS,"I struggled with the assignments, but found the lectures informative.",0
19102097,BE,COMPS,The instructor was very knowledgeable and approachable.,1
19102098,BE,COMPS,"I found the workload to be overwhelming at times, but overall learned a lot.",0
19102099,BE,COMPS,The class discussions were engaging and helped me to understand the material better.,1
19102100,BE,COMPS,"I had difficulty keeping up with the pace of the course, but still enjoyed it.",-1
19102101,BE,COMPS,The course workload was manageable and fair,0
19102102,BE,COMPS,The lectures were informative and the professors were helpful.,1
19102107,BE,COMPS,The exams were too difficult and not representative of the coursework.,-1
19102110,BE,COMPS,The coursework was well-structured and challenging,1
19102110,BE,COMPS,The coursework was well-structured and challenging,1
19102112,BE,COMPS,The course was challenging but well-taught and I learned a lot.,1
19105112,BE,MECH,The course textbook was poorly organized,-1
19102117,BE,COMPS,The course was too theoretical and lacked practical applications.,-1
19102122,BE,COMPS,The professors were approachable and provided useful feedback on assignments.,1
19102123,BE,COMPS,The assignments were challenging but rewarding,1
19102123,BE,COMPS,The assignments were challenging but rewarding,1
19102127,BE,COMPS,The workload was manageable but the coursework was not challenging enough.,0
19102132,BE,COMPS,The labs were well-equipped but the coursework was not challenging enough.,0
19102133,BE,COMPS,The class size was small and conducive to learning,1
19102142,BE,COMPS,The facilities were modern and well-equipped,1
19102189,BE,COMPS,The group project was a great learning experience,1
19102189,BE,COMPS,The group project was a great learning experience,1
19102190,BE,COMPS,The exams were challenging and well-constructed,1
19101001,BE,CIVIL,The course was very informative and well-taught.,1
19101002,BE,CIVIL,"I found the course to be challenging, but ultimately rewarding.",0
19101003,BE,CIVIL,The workload was manageable and helped me to stay engaged with the material.,1
19101004,BE,CIVIL,I felt that the assignments were too time-consuming and detracted from the overall learning experience.,-1
19101005,BE,CIVIL,The instructor was very approachable and willing to help when needed.,1
19101006,BE,CIVIL,I struggled to keep up with the pace of the course and found myself falling behind.,-1
19101007,BE,CIVIL,I appreciated the real-world examples used throughout the course to help illustrate concepts.,1
19101008,BE,CIVIL,"The exams were challenging but fair, and helped me to solidify my understanding of the material.",1
19101009,BE,CIVIL,I felt that some of the material covered in the course was not applicable to my field of study.,-1
19101010,BE,CIVIL,The group projects were a great way to apply what we learned in class to real-world scenarios.,1
19101011,BE,CIVIL,The course content was well-organized and easy to follow.,1
19101012,BE,CIVIL,I found the course to be too theoretical and not enough practical.,-1
19101013,BE,CIVIL,The course readings were helpful in supplementing the lecture material.,1
19101014,BE,CIVIL,I appreciated the instructor's use of multimedia materials to help illustrate concepts.,1
19101015,BE,CIVIL,The course was very time-consuming and I found it difficult to balance with other coursework.,-1
19101016,BE,CIVIL,The course was well-paced and provided a good overview of the subject matter.,1
19101017,BE,CIVIL,I appreciated the opportunities to work collaboratively with my classmates.,1
19101018,BE,CIVIL,"I found the course to be too repetitive, with too much focus on certain topics.",-1
19101019,BE,CIVIL,The instructor provided detailed and helpful feedback on assignments.,1
19101020,BE,CIVIL,The course was very engaging and held my interest throughout.,1
19101021,BE,CIVIL,"I struggled with the exams, but found the homework assignments to be more manageable.",0
19101022,BE,CIVIL,The course content was challenging but ultimately rewarding.,1
19101023,BE,CIVIL,I felt that the course did not provide enough opportunities for hands-on learning.,-1
19101024,BE,CIVIL,"The course provided a good overview of the subject matter, but could have gone into more depth on certain topics.",0
19101025,BE,CIVIL,I appreciated the instructor's use of real-world examples to help illustrate concepts.,1
19101026,BE,CIVIL,I found the course to be too focused on theory and not enough on practical application.,-1
19101027,BE,CIVIL,"The workload was manageable, but I would have appreciated more guidance on assignments.",0
19101028,BE,CIVIL,I found the exams to be overly difficult and not representative of the material covered in class.,-1
19101029,BE,CIVIL,The professor was very knowledgeable and helpful,1
19101030,BE,CIVIL,The lectures were informative and well-structured,1
19101031,BE,CIVIL,The course materials were well-organized and easy to understand,1
19101032,BE,CIVIL,The assignments were challenging but interesting,0
19101033,BE,CIVIL,The exams were fair and reasonable,0
19101034,BE,CIVIL,The professor could have been more responsive to questions,-1
19101035,BE,CIVIL,The course workload was too heavy,-1
19101036,BE,CIVIL,The grading criteria were unclear,-1
19101037,BE,CIVIL,The classroom facilities were not well-maintained,-1
19101038,BE,CIVIL,The course content was not relevant to my interests,-1
19101039,BE,CIVIL,The professor was disorganized and unprepared,-1
19101040,BE,CIVIL,The course was a waste of time and money,-1
19101041,BE,CIVIL,The course was valuable and worthwhile,1
19101042,BE,CIVIL,The professor was approachable and friendly,1
19101043,BE,CIVIL,The assignments were helpful in reinforcing my understanding of the material,1
19101044,BE,CIVIL,The exams were challenging but fair,0
19101045,BE,CIVIL,The course provided me with new insights and knowledge,1
19101046,BE,CIVIL,The professor was inspiring and motivating,1
19101047,BE,CIVIL,The course helped me develop important skills for my future career,1
19101048,BE,CIVIL,The professor encouraged critical thinking and discussion,1
19101049,BE,CIVIL,The course broadened my perspective and understanding of the subject,1
19101050,BE,CIVIL,The professor provided helpful feedback on my assignments and exams,1
19101051,BE,CIVIL,The course was well-designed and engaging,1
19101052,BE,CIVIL,The professor was enthusiastic and passionate about the subject,1
19101053,BE,CIVIL,The course readings were interesting and relevant,1
19101054,BE,CIVIL,The professor was accessible and available for extra help,1
19101055,BE,CIVIL,The course challenged me to think in new ways,1
19101056,BE,CIVIL,The professor used a variety of teaching methods to keep the class interesting,1
19101057,BE,CIVIL,The course helped me develop better study habits and time management skills,1
19101058,BE,CIVIL,The professor was respectful and considerate towards all students,1
19101059,BE,CIVIL,The course was a great opportunity to learn from my peers,1
19101060,BE,CIVIL,The professor was knowledgeable and passionate about the subject,1
19101061,BE,CIVIL,The course was well-organized and easy to follow,1
19101062,BE,CIVIL,The professor was helpful in clarifying any confusing concepts,1
19101063,BE,CIVIL,The course provided opportunities for hands-on learning and application of concepts,1
19101064,BE,CIVIL,The professor provided real-world examples to illustrate concepts,1
19101065,BE,CIVIL,The course sparked my interest in the subject matter,1
19101066,BE,CIVIL,The professor was organized and prepared for each class,1
19101067,BE,CIVIL,The course was challenging but rewarding,1
19101068,BE,CIVIL,The professor was accommodating to students with different learning styles,1
19101069,BE,CIVIL,"The course required a lot of effort, but it was worth it",1
19101070,BE,CIVIL,The professor was patient and understanding with students' questions,1
19101071,BE,CIVIL,The course helped me develop critical thinking skills,1
19101072,BE,CIVIL,The professor was knowledgeable and experienced in the field,1
19101073,BE,CIVIL,The course provided a good foundation for further study in the subject,1
19101074,BE,CIVIL,The professor was open to feedback and suggestions,1
19101075,BE,CIVIL,The course was well-paced and manageable,1
19101076,BE,CIVIL,The professor was fair and consistent in grading,1
19101077,BE,CIVIL,The course encouraged collaboration and teamwork,1
19101078,BE,CIVIL,The professor was passionate about teaching and helping students learn,1
19101079,BE,CIVIL,The course helped me develop better writing and communication skills,1
19101080,BE,CIVIL,The professor was knowledgeable about current trends and developments in the field,1
19101081,BE,CIVIL,The course provided opportunities for independent research and exploration,1
19101082,BE,CIVIL,The professor was engaging and enthusiastic in class,1
19101083,BE,CIVIL,The course broadened my understanding of different perspectives in the subject,1
19101084,BE,CIVIL,The professor was approachable and easy to talk to,1
19101085,BE,CIVIL,The course was well-structured and logical,1
19101086,BE,CIVIL,The professor was knowledgeable and helpful in office hours,1
19101087,BE,CIVIL,The course provided practical skills that can be applied in the real world,1
19101088,BE,CIVIL,The professor was respectful of diverse opinions and experiences,1
19101089,BE,CIVIL,The course was intellectually stimulating and thought-provoking,1
19101090,BE,CIVIL,The professor provided useful feedback on assignments and projects,1
19101091,BE,CIVIL,The course required a lot of independent study and self-motivation,0
19101092,BE,CIVIL,The professor was difficult to approach and communicate with,-1
19101093,BE,CIVIL,The course lacked diversity in perspectives and voices,-1
19101094,BE,CIVIL,The professor was disorganized and often went off-topic,-1
19101095,BE,CIVIL,The course did not provide enough opportunities for hands-on learning,-1
19101096,BE,CIVIL,The professor was biased and played favorites in class,-1
19101097,BE,CIVIL,The course was too focused on memorization and not enough on understanding,-1
19101098,BE,CIVIL,The professor was unresponsive to emails and messages,-1
19101099,BE,CIVIL,The course material was outdated and not relevant to current industry practices,-1
19101100,BE,CIVIL,The professor was condescending and dismissive of students' ideas and questions,-1
19101102,BE,CIVIL,The course textbook was poorly written and unhelpful,-1
19101103,BE,CIVIL,The workload was manageable and the labs were interesting.,0
19101108,BE,CIVIL,The professors seemed disengaged and unapproachable.,-1
19101113,BE,CIVIL,The coursework was relevant and applicable to real-world scenarios.,1
19101118,BE,CIVIL,The course material was outdated and not relevant to current industry practices.,-1
19101121,BE,CIVIL,The course content was interesting and relevant,0
19101121,BE,CIVIL,The course content was interesting and relevant,0
19101123,BE,CIVIL,The labs were engaging and helped me apply what I learned in class.,1
19101128,BE,CIVIL,The course was interesting but the professors seemed unprepared.,0
19101133,BE,CIVIL,The professors were knowledgeable but the exams were too difficult.,-1
19101148,BE,CIVIL,The facilities were inadequate and outdated,-1
19101149,BE,CIVIL,The lab sessions were informative and engaging,1
19101156,BE,CIVIL,The class size was too large for effective learning,-1
19101156,BE,CIVIL,The class size was too large for effective learning,-1
19101158,BE,CIVIL,The exams were too difficult and unfair,-1
19101160,BE,CIVIL,The coursework was too easy and not challenging enough,0
19101172,BE,CIVIL,The exams were fair and well-constructed,1
19101172,BE,CIVIL,The exams were fair and well-constructed,1
19101199,BE,CIVIL,The instructors were knowledgeable and helpful,1
19101199,BE,CIVIL,The instructors were knowledgeable and helpful,1
19105001,BE,MECH,The professor was very knowledgeable and made the material interesting,1
19105002,BE,MECH,The course was well-organized and the professor was approachable,1
19105003,BE,MECH,The course workload was manageable and helped me learn a lot,1
19105004,BE,MECH,The professor was sometimes unclear in their explanations,-1
19105005,BE,MECH,The course required more hands-on experience with the material,-1
19105006,BE,MECH,The professor could have been more engaging during lectures,-1
19105007,BE,MECH,The course content was not as relevant to real-world applications as I had hoped,-1
19105008,BE,MECH,The professor's grading policy was inconsistent and confusing,-1
19105009,BE,MECH,The course was disorganized and difficult to follow,-1
19105010,BE,MECH,The professor was unapproachable and did not provide adequate feedback,-1
19105011,BE,MECH,The course material was too easy and did not challenge me enough,0
19105012,BE,MECH,The professor's teaching style was not a good match for my learning style,-1
19105013,BE,MECH,The course was well-structured and easy to follow,1
19105014,BE,MECH,The professor was knowledgeable but not very engaging,-1
19105015,BE,MECH,The course content was relevant and applicable to real-world situations,1
19105016,BE,MECH,The professor provided helpful feedback and was approachable,1
19105017,BE,MECH,The course workload was too heavy and made it difficult to keep up,-1
19105018,BE,MECH,The professor was disorganized and often went off on tangents,-1
19105019,BE,MECH,The course required more prerequisite knowledge than I had expected,-1
19105020,BE,MECH,The professor's lectures were clear and well-structured,1
19105021,BE,MECH,The course was very hands-on and provided practical experience with the material,1
19105022,BE,MECH,The professor was approachable and provided helpful feedback,1
19105023,BE,MECH,The course material was challenging but manageable,0
19105024,BE,MECH,The professor was unresponsive to emails and messages,-1
19105025,BE,MECH,The course was disorganized and poorly structured,-1
19105026,BE,MECH,The professor did not adequately prepare us for exams,-1
19105027,BE,MECH,The course content was not applicable to my career goals,-1
19105028,BE,MECH,The professor's teaching style was engaging and interactive,1
19105029,BE,MECH,The professor was very knowledgeable and made the material interesting,1
19105030,BE,MECH,The course was well-organized and the professor was approachable,1
19105031,BE,MECH,The course workload was manageable and helped me learn a lot,1
19105032,BE,MECH,The professor was sometimes unclear in their explanations,-1
19105033,BE,MECH,The course required more hands-on experience with the material,-1
19105034,BE,MECH,The professor could have been more engaging during lectures,-1
19105035,BE,MECH,The course content was not as relevant to real-world applications as I had hoped,-1
19105036,BE,MECH,The professor's grading policy was inconsistent and confusing,-1
19105037,BE,MECH,The course was disorganized and difficult to follow,-1
19105038,BE,MECH,The professor was unapproachable and did not provide adequate feedback,-1
19105039,BE,MECH,The course material was too easy and did not challenge me enough,0
19105040,BE,MECH,The professor's teaching style was not a good match for my learning style,-1
19105041,BE,MECH,The course was well-structured and easy to follow,1
19105042,BE,MECH,The professor was knowledgeable but not very engaging,-1
19105043,BE,MECH,The course content was relevant and applicable to real-world situations,1
19105044,BE,MECH,The professor provided helpful feedback and was approachable,1
19105045,BE,MECH,The course workload was too heavy and made it difficult to keep up,-1
19105046,BE,MECH,The professor was disorganized and often went off on tangents,-1
19105047,BE,MECH,The course required more prerequisite knowledge than I had expected,-1
19105048,BE,MECH,The professor's lectures were clear and well-structured,1
19105049,BE,MECH,The course was very hands-on and provided practical experience with the material,1
19105050,BE,MECH,The professor was approachable and provided helpful feedback,1
19105051,BE,MECH,The course material was challenging but manageable,0
19105052,BE,MECH,The professor was unresponsive to emails and messages,-1
19105053,BE,MECH,The course was disorganized and poorly structured,-1
19105054,BE,MECH,The professor did not adequately prepare us for exams,-1
19105055,BE,MECH,The course content was not applicable to my career goals,-1
19105056,BE,MECH,The professor's teaching style was engaging and interactive,1
19105057,BE,MECH,The course was very useful and relevant to my future career,1
19105058,BE,MECH,The professor was knowledgeable but sometimes difficult to follow,-1
19105059,BE,MECH,The course provided valuable hands-on experience with the material,1
19105060,BE,MECH,The professor was approachable and provided useful feedback,1
19105061,BE,MECH,The professor provided clear explanations and examples,1
19105062,BE,MECH,The course was interesting and engaging,1
19105063,BE,MECH,The professor seemed uninterested and unengaged,-1
19105064,BE,MECH,The course workload was too heavy and overwhelming,-1
19105065,BE,MECH,The professor was knowledgeable and passionate about the subject,1
19105066,BE,MECH,The course material was relevant and useful,1
19105067,BE,MECH,The professor did not provide enough opportunities for questions and discussion,-1
19105068,BE,MECH,The course was well-organized and easy to follow,1
19105069,BE,MECH,The professor was disorganized and often changed the schedule,-1
19105070,BE,MECH,The course content was too theoretical and lacked practical applications,-1
19105071,BE,MECH,The professor's teaching style was engaging and interactive,1
19105072,BE,MECH,The course required a lot of independent study and research,0
19105073,BE,MECH,The professor was available and approachable outside of class,1
19105074,BE,MECH,The course was too easy and did not challenge me enough,-1
19105075,BE,MECH,The professor did not provide enough feedback on assignments and exams,-1
19105076,BE,MECH,The course content was outdated and irrelevant,-1
19105077,BE,MECH,The professor was biased and did not provide a fair assessment of student work,-1
19105078,BE,MECH,The course was well-structured and easy to navigate,1
19105079,BE,MECH,The professor was passionate and knowledgeable about the subject,1
19105080,BE,MECH,The course material was challenging but manageable,0
19105081,BE,MECH,The professor did not provide enough examples or real-world applications,-1
19105082,BE,MECH,The course was informative and practical,1
19105083,BE,MECH,The professor was unresponsive and difficult to get in touch with,-1
19105084,BE,MECH,The course workload was reasonable and balanced,0
19105085,BE,MECH,The professor was approachable and helpful outside of class,1
19105086,BE,MECH,The course was too focused on theory and did not provide enough practical applications,-1
19105087,BE,MECH,The professor was engaging and made the material interesting,1
19105088,BE,MECH,The course required a lot of group work and collaboration,1
